,0,1,2,3,4,5,6,7,8,9,10
138,,,10,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:44.867Z,42.22675832971811,power,power_consumption,sensor,global
139,,,10,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:27:03.071Z,16.018760125773024,power,power_consumption,sensor,global
140,,,10,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:27:06.101Z,14.069155342773913,power,power_consumption,sensor,global
141,,,10,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:27:07.107Z,13.997513634272504,power,power_consumption,sensor,global
142,,,10,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:27:08.114Z,15.13111558292362,power,power_consumption,sensor,global
143,,,10,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:27:10.134Z,15.186148574585898,power,power_consumption,sensor,global
144,,,10,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:27:12.162Z,72.84576112787525,power,power_consumption,sensor,global
145,#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
146,#group,false,false,true,true,false,false,false,false,false,true
147,#default,_result,,,,,,,,,
148,,result,table,_start,_stop,_time,_value,_field,_measurement,sensor,target
149,,,11,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:25:55.67Z,0,power,power_consumption,sensor,host_sensors-power-api-hwpc-1
150,,,11,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:25:56.674Z,0,power,power_consumption,sensor,host_sensors-power-api-hwpc-1
151,,,11,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:25:57.678Z,0,power,power_consumption,sensor,host_sensors-power-api-hwpc-1
152,,,11,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:25:58.682Z,0,power,power_consumption,sensor,host_sensors-power-api-hwpc-1
153,,,11,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:25:59.686Z,0,power,power_consumption,sensor,host_sensors-power-api-hwpc-1
154,,,11,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:00.69Z,0,power,power_consumption,sensor,host_sensors-power-api-hwpc-1
155,,,11,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:01.694Z,0,power,power_consumption,sensor,host_sensors-power-api-hwpc-1
156,,,11,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:02.698Z,0,power,power_consumption,sensor,host_sensors-power-api-hwpc-1
157,,,11,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:03.702Z,0,power,power_consumption,sensor,host_sensors-power-api-hwpc-1
158,,,11,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:04.706Z,0,power,power_consumption,sensor,host_sensors-power-api-hwpc-1
159,,,11,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:05.71Z,0,power,power_consumption,sensor,host_sensors-power-api-hwpc-1
160,,,11,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:06.714Z,0,power,power_consumption,sensor,host_sensors-power-api-hwpc-1
161,,,11,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:07.718Z,24.11263948876663,power,power_consumption,sensor,host_sensors-power-api-hwpc-1
162,,,11,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:08.722Z,0,power,power_consumption,sensor,host_sensors-power-api-hwpc-1
163,,,11,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:09.726Z,0,power,power_consumption,sensor,host_sensors-power-api-hwpc-1
